x,y
go straight down the road,3
proceed in a straight line,3
move forward without turning,3
continue straight ahead on this path,3
head directly down the street,3
stay on the straight and narrow,3
travel straight without any deviations,3
follow the route in a straight line,3
maintain your course straight ahead,3
move as far as you can see,3
proceed straight along the way,3
move on the direct path,3
keep on the direct path,3
continue forward without making any turns,3
head straight toward your destination,3
stay on the unswerving route,3
move straight along the trail,3
follow the road without turning left or right,3
go ahead without veering off course,3
move on the straight and clear route,3
continue in a straight trajectory,3
head straight down the avenue,3
stay true to the straight path,3
move directly towards your goal,3
move on the straight route,3
proceed straightforwardly,3
go straight on this thoroughfare,3
continue along the straight road,3
head straight down the boulevard,3
follow the straight line on the map,3
move in a straight line without deviation,3
stay on the direct course,3
go straight down the corridor,3
proceed straight through the intersection,3
move straight ahead without hesitation,3
keep to the straight and clear road,3
follow the unbroken line ahead,3
maintain your course without deviations,3
move straight with confidence,3
continue in a straight line without interruptions,3
head straight through the city,3
stay on the straightforward route,3
move directly towards the goal,3
go straight past the landmarks,3
proceed straight through the urban landscape,3
move forward without turning aside,3
follow the straight trail ahead,3
head straight across the bridge,3
stay on the clear path without turning,3
move in a straight line through the park,3
continue in a straight trajectory,3
go straight past the crossroads,3
maintain a direct course,3
head straight through the neighborhood,3
stay true to the straight road,3
move directly along the established route,3
follow the unswerving path,3
go ahead without veering off the straight line,3
keep on the undeviating course,3
proceed straight along the riverbank,3
move directly through the woods,3
continue straight without distractions,3
head straight past the landmarks,3
stay on the direct route without deviation,3
move straightforwardly through the countryside,3
go straight towards the mountain,3
keep on the straight and narrow path,3
follow the straight line on the horizon,3
head directly to the coastline,3
stay on the straight highway,3
move in a straight line through the desert,3
continue straight across the plains,3
go ahead without turning in any direction,3
keep to the unswerving trail,3
proceed straight along the beach,3
head straight through the canyon,3
stay true to the straight street,3
move directly through the valley,3
go straight under the clear sky,3
keep on the straight course through the forest,3
follow the unbroken line on the map,3
maintain your course straight ahead,3
move directly along the river,3
continue straight across the meadow,3
head straight through the wilderness,3
stay on the direct path to your destination,3
go straight along the seashore,3
proceed straightforwardly through the hills,3
move forward without detours,3
follow the straight track through the city,3
head straight past the fields,3
stay on the straight road through the countryside,3
move directly along the railway tracks,3
go straight to your final destination,3
retreat,4
move rearward,4
go in reverse,4
backtrack,4
reverse your direction,4
withdraw,4
step back,4
regress,4
move in a backward motion,4
take a step back,4
go backward,4
shift to the rear,4
reverse course,4
retreat backward,4
move away from the front,4
move in the opposite direction,4
step in reverse,4
withdrawal,4
move towards the rear,4
back away,4
go in a backward trajectory,4
move back from your current position,4
go rearward,4
fall back,4
retrace your steps,4
move towards the back,4
draw back,4
recede,4
take a backward step,4
move back along the path,4
step away from the forward direction,4
reverse your movement,4
retreat from the current position,4
go back,4
shift to the back,4
move to the rear,4
pull back,4
move in the opposite direction from the front,4
retreat to a previous location,4
step in the opposite direction,4
move in a rearward motion,4
withdraw from the front,4
fall behind,4
take steps backward,4
go in the reverse direction,4
retreat from the current point,4
step back from the current position,4
move toward the rear,4
shift away from the front,4
go in a backward trajectory,4
withdraw yourself,4
take a step away from the forward direction,4
move in the opposite path,4
retreat along the path,4
step back from the current location,4
go back from the current point,4
move in a rearward direction,4
draw away from the front,4
step backward on the path,4
retreat to a preceding point,4
move away from the forward trajectory,4
go in the opposite way,4
retreat to a previous spot,4
move in the direction opposite to forward,4
fall back from the current position,4
withdraw to a prior location,4
take steps in a backward motion,4
move in the reverse trajectory,4
step back to a previous spot,4
go away from the front,4
retreat from the current spot,4
move in a rearward trajectory,4
retreat along the route,4
shift backward from the current location,4
step away from the forward trajectory,4
move in the opposite course,4
withdraw to a preceding point,4
go back from the current place,4
retreat to a former location,4
move in a backward path,4
step back from the present position,4
go in the reverse course,4
move to the rear from the current point,4
retreat from the current spot,4
withdraw to a prior spot,4
take steps in the opposite direction,4
move away from the front direction,4
retreat along the route taken,4
step backward on the path traveled,4
go back to a previous point,4
move in a rearward motion,4
retreat to a former point,4
fall back from the present position,4
withdraw to a preceding spot,4
take steps in the reverse direction,4
move in the opposite way from forward,4
retreat along the course traveled,4
step back to a former spot,4
go away from the forward trajectory,4
move in the reverse path,4
sidestep to the left,5
veer toward the left side,5
glide leftward,5
steer in a leftward direction,5
shift your position to the left,5
move in a leftward motion,5
slide to the left,5
lean to the left,5
adjust your course to the left,5
veer left,5
maneuver towards the left,5
tilt left,5
direct yourself to the left,5
shift horizontally to the left,5
adjust your alignment to the left,5
turn leftward,5
guide your movement to the left,5
head left,5
navigate to the left side,5
offset your position to the left,5
progress towards the left,5
veer off to the left,5
align yourself to the left,5
lean in a leftward direction,5
steer left,5
progress leftward,5
glide towards the left side,5
maneuver left,5
shift laterally to the left,5
adjust your heading to the left,5
tilt in a leftward manner,5
turn in the left direction,5
direct your movement to the left,5
move horizontally to the left,5
slide leftward,5
guide yourself to the left,5
offset to the left side,5
veer your trajectory leftward,5
shift towards the left side,5
lean left,5
adjust your position to the left,5
navigate leftward,5
maneuver in a leftward direction,5
head in a leftward trajectory,5
glide to the left side,5
progress in a leftward motion,5
turn towards the left side,5
steer in a leftward manner,5
move leftward on the path,5
tilt to the left side,5
shift your course to the left,5
slide laterally to the left,5
veer left on your route,5
guide your trajectory to the left side,5
lean in a leftward direction,5
adjust your heading leftward,5
turn in the direction of the left,5
progress in a leftward trajectory,5
maneuver left on the path,5
shift your alignment to the left,5
glide to the left on your course,5
navigate in the leftward direction,5
move in a leftward motion on the path,5
steer toward the left side,5
veer your course leftward,5
adjust your position in a leftward manner,5
lean towards the left side,5
slide towards the left on your route,5
head in a leftward trajectory,5
tilt leftward on your path,5
move to the left side,5
progress in the direction of the left,5
turn left on the route,5
steer your movement to the left,5
glide leftward on the path,5
shift your trajectory to the left side,5
navigate towards the left,5
maneuver in a leftward direction on your course,5
move left on your route,5
veer towards the left side,5
adjust your heading in a leftward manner,5
lean left on the path,5
turn in the leftward direction,5
guide your movement leftward,5
slide left on the route,5
head towards the left side,5
tilt your position to the left,5
progress in a leftward trajectory on the path,5
steer in the direction of the left side,5
shift leftward on your course,5
move in a leftward motion on the route,5
veer towards the left side of the path,5
glide to the left on the route,5
navigate in the direction of the left,5
maneuver leftward on the course,5
turn towards the left side,5
adjust your movement leftward,5
lean left on the route,5
slide to the left side,5
head in a leftward direction on the path,5
slide to the right,6
veer toward the right side,6
glide rightward,6
steer in a rightward direction,6
shift your position to the right,6
move in a rightward motion,6
slide to the right side,6
lean to the right,6
adjust your course to the right,6
veer right,6
maneuver towards the right,6
tilt right,6
direct yourself to the right,6
shift horizontally to the right,6
adjust your alignment to the right,6
turn rightward,6
guide your movement to the right,6
head right,6
navigate to the right side,6
offset your position to the right,6
progress towards the right,6
veer off to the right,6
align yourself to the right,6
lean in a rightward direction,6
steer right,6
progress rightward,6
glide towards the right side,6
maneuver right,6
shift laterally to the right,6
adjust your heading to the right,6
tilt in a rightward manner,6
turn in the right direction,6
direct your movement to the right,6
move horizontally to the right,6
slide rightward,6
guide yourself to the right,6
offset to the right side,6
veer your trajectory rightward,6
shift towards the right side,6
lean right,6
adjust your position to the right,6
navigate rightward,6
maneuver in a rightward direction,6
head in a rightward trajectory,6
glide to the right side,6
progress in a rightward motion,6
turn towards the right side,6
steer in a rightward manner,6
move rightward on the path,6
tilt to the right side,6
shift your course to the right,6
slide laterally to the right,6
veer right on your route,6
guide your trajectory to the right side,6
lean in a rightward direction,6
adjust your heading rightward,6
turn in the right direction,6
progress in a rightward trajectory,6
maneuver right on the path,6
shift your alignment to the right,6
glide to the right on your course,6
navigate in the rightward direction,6
move in a rightward motion on the path,6
steer toward the right side,6
veer your course rightward,6
adjust your position in a rightward manner,6
lean towards the right side,6
slide towards the right on your route,6
head in a rightward trajectory,6
tilt rightward on your path,6
move to the right side,6
progress in the direction of the right,6
turn right on the route,6
steer your movement to the right,6
glide rightward on the path,6
shift your trajectory to the right side,6
navigate towards the right,6
maneuver in a rightward direction on your course,6
move right on your route,6
veer towards the right side,6
adjust your heading in a rightward manner,6
lean right on the path,6
turn in the rightward direction,6
guide your movement to the right,6
slide right on the route,6
head towards the right side,6
tilt your position to the right,6
progress in a rightward trajectory on the path,6
steer in the direction of the right side,6
shift rightward on your course,6
move in a rightward motion on the route,6
veer towards the right side of the path,6
glide to the right on the route,6
navigate in the direction of the right,6
maneuver rightward on the course,6
turn towards the right side,6
adjust your movement rightward,6
lean right on the route,6
slide to the right side,6
head in a rightward direction on the path,6
don't go straight down the road,15
avoid proceeding in a straight line,15
refrain from moving forward without turning,15
don't continue straight ahead on this path,15
avoid heading directly down the street,15
stray from the straight and narrow,15
don't travel straight without any deviations,15
ignore following the route in a straight line,15
veer away from maintaining your course straight ahead,15
don't move as far as you can see,15
avoid proceeding straight along the way,15
don't move on the direct path,15
avoid keeping on the direct path,15
refrain from continuing forward without making any turns,15
don't head straight toward your destination,15
stray from staying on the unswerving route,15
avoid moving straight along the trail,15
don't follow the road without turning left or right,15
